branch_num,sucursal,afiliaciones_cuota_13sem,afiliaciones_cuota_semanal,portabilidades_cuota_13sem,portabilidades_cuota_semanal,efectivo_cuota_13sem_pesos,efectivo_cuota_semanal_pesos
708,DAZ SAN DIEGO DE LA UNION,155,12,39,3,5400000,415000
9846,DAZ SAN LUIS DE LA PAZ,88,7,26,2,2061000,159000
2111,EKT COMONFORT,162,12,51,4,11230000,864000
4155,EKT GTO SAN JOSE ITURBIDE,250,19,52,4,10050000,773000
2083,EKT GUANAJUATO SAN LUIS DE LA PAZ,483,37,117,9,14562000,1120000
2082,EKT QUERETARO SATELITE,240,18,81,6,16818000,1294000
4183,EKT SANTIAGO QUERETARO SANTA R,331,25,97,7,17978000,1383000
9510,MEGA AV PENAFLOR QRO,110,8,39,3,10878000,837000
6787,MEGA JUVENTINO ROSAS,322,25,65,5,18178000,1398000
3105,MEGA SAN JOSE DE ITURBIDE,178,14,39,3,5612000,432000
1054,MEGA SAN MIGUEL DE ALLENDE,300,23,97,7,17495000,1346000
